date,precipitation,max_temp,min_temp,temp_range,above_80F,above_90F,above_95F,above_98F,max_temp_f,max_temp_above_avg,min_temp_f,min_temp_above_avg,day_of_year,month,day_of_week,quarter,week_of_year,is_summer,is_winter,is_spring,is_fall,is_summer_vacation,precipitation_inches,is_rainy_day,is_dry_day,max_temp_ma_3,max_temp_ma_7,max_temp_ma_14,max_temp_ma_30,min_temp_ma_3,min_temp_ma_7,min_temp_ma_14,max_temp_ema_7,max_temp_ema_14,max_temp_lag_1,max_temp_lag_2,max_temp_lag_7,min_temp_lag_1,min_temp_lag_2,min_temp_lag_7,max_temp_diff_1,max_temp_diff_7,min_temp_diff_1,min_temp_diff_7,temp_mean,temp_range_ma_7,precipitation_ma_3,precipitation_ma_7,had_precipitation,heavy_precipitation,below_32F,below_20F,max_temp_volatility_7,max_temp_volatility_30,min_temp_volatility_7,max_temp_trend_7,max_temp_trend_14
2020-08-01,0.0,32.2,22.799999999999997,9.400000000000006,1,0,0,0,89.96000000000001,True,73.03999999999999,True,214,8,5,3,31,1,0,0,0,1,0.0,0,1,32.2,32.2,32.2,32.2,22.799999999999997,22.799999999999997,22.799999999999997,32.2,32.2,,,,,,,,,,,27.5,9.400000000000006,0.0,0.0,0,0,0,0,,,,,
2020-08-02,0.0,33.9,24.4,9.5,1,1,0,0,93.02,True,75.92,True,215,8,6,3,31,1,0,0,0,1,0.0,0,1,33.05,33.05,33.05,33.05,23.599999999999998,23.599999999999998,23.599999999999998,33.17142857142857,33.11071428571429,32.2,,,22.799999999999997,,,1.6999999999999957,,1.6000000000000014,,29.15,9.450000000000003,0.0,0.0,0,0,0,0,1.2020815280171302,1.2020815280171302,1.1313708498984771,,
2020-08-03,0.0,32.2,24.4,7.800000000000004,1,0,0,0,89.96000000000001,True,75.92,True,216,8,0,3,32,1,0,0,0,1,0.0,0,1,32.76666666666667,32.76666666666667,32.76666666666667,32.76666666666667,23.866666666666664,23.866666666666664,23.866666666666664,32.75135135135135,32.762818336162994,33.9,32.2,,24.4,22.799999999999997,,-1.6999999999999957,,0.0,,28.3,8.900000000000004,0.0,0.0,0,0,0,0,0.9814954576223618,0.9814954576223618,0.9237604307034023,,
2020-08-04,105.7,28.3,22.200000000000003,6.099999999999998,1,0,0,0,82.94,True,71.96000000000001,True,217,8,1,3,32,1,0,0,0,1,4.161417322834646,1,0,31.46666666666667,31.650000000000002,31.650000000000002,31.650000000000002,23.666666666666668,23.45,23.45,31.123428571428573,31.397516316171142,32.2,33.9,,24.4,24.4,,-3.900000000000002,,-2.1999999999999957,,25.25,8.200000000000003,35.233333333333334,26.425,1,1,0,0,2.3727621035409325,2.3727621035409325,1.1239810200058231,,
2020-08-05,0.0,31.1,22.200000000000003,8.899999999999999,1,0,0,0,87.98,True,71.96000000000001,True,218,8,2,3,32,1,0,0,0,1,0.0,0,1,30.533333333333335,31.540000000000003,31.540000000000003,31.540000000000003,22.933333333333337,23.2,23.2,31.115749039692705,31.319894764508536,28.3,32.2,,22.200000000000003,24.4,,2.8000000000000007,,0.0,,26.650000000000002,8.34,35.233333333333334,21.14,0,0,0,0,2.0695410119154425,2.0695410119154425,1.1224972160321804,,
2020-08-06,11.200000000000001,28.3,21.1,7.199999999999999,1,0,0,0,82.94,True,69.98,True,219,8,3,3,32,1,0,0,0,1,0.44094488188976383,1,0,29.233333333333334,31.0,31.0,31.0,21.833333333333332,22.849999999999998,22.849999999999998,30.25940005940006,30.621144955921988,31.1,28.3,,22.200000000000003,22.200000000000003,,-2.8000000000000007,,-1.1000000000000014,,24.700000000000003,8.15,38.96666666666667,19.483333333333334,1,1,0,0,2.275082416089578,2.275082416089578,1.3202272531651496,,
2020-08-07,26.200000000000003,28.9,20.6,8.299999999999997,1,0,0,0,84.02,True,69.08,True,220,8,4,3,32,1,0,0,0,1,1.0314960629921262,1,0,29.433333333333337,30.7,30.7,30.7,21.3,22.52857142857143,22.52857142857143,29.867197295203216,30.258463221150276,28.3,31.1,,21.1,22.200000000000003,,0.5999999999999979,,-0.5,,24.75,8.171428571428573,12.466666666666669,20.442857142857147,1,1,0,0,2.223360819420305,2.223360819420305,1.4750302660333048,-0.792857142857142,
2020-08-08,0.0,29.4,20.6,8.799999999999997,1,0,0,0,84.91999999999999,True,69.08,True,221,8,5,3,32,1,0,0,0,1,0.0,0,1,28.866666666666664,30.3,30.5375,30.5375,20.76666666666667,22.214285714285715,22.2875,29.7374039847393,30.090560456108086,28.9,28.3,32.2,20.6,21.1,22.799999999999997,0.5,-2.8000000000000043,0.0,-2.1999999999999957,25.0,8.085714285714285,12.466666666666669,20.442857142857147,0,0,0,0,2.159475244899401,2.1091213471829575,1.6334305121722301,-0.7178571428571415,
2020-08-09,0.0,31.1,21.7,9.400000000000002,1,0,0,0,87.98,True,71.06,True,222,8,6,3,32,1,0,0,0,1,0.0,0,1,29.8,29.900000000000002,30.599999999999998,30.599999999999998,20.96666666666667,21.82857142857143,22.22222222222222,30.105706897191716,30.276421740899128,29.4,28.9,33.9,20.6,20.6,24.4,1.7000000000000028,-2.799999999999997,1.0999999999999979,-2.6999999999999993,26.4,8.071428571428571,8.733333333333334,20.442857142857147,0,0,0,0,1.5567059238447483,1.9817921182606406,1.319992784973066,-0.11785714285714198,
2020-08-10,0.0,33.3,23.9,9.399999999999999,1,1,0,0,91.94,True,75.02,True,223,8,0,3,33,1,0,0,0,1,0.0,0,1,31.266666666666666,30.057142857142853,30.869999999999997,30.869999999999997,22.066666666666666,21.75714285714286,22.39,30.95193420694938,30.806224164039985,31.1,29.4,32.2,21.7,20.6,24.4,2.1999999999999957,1.0999999999999943,2.1999999999999993,-0.5,28.599999999999998,8.299999999999999,0.0,20.442857142857147,0,0,0,0,1.8545953223072145,2.0542909022607065,1.1616900660347438,0.5750000000000011,
2020-08-11,0.0,32.2,23.3,8.900000000000002,1,0,0,0,89.96000000000001,True,73.94,True,224,8,1,3,33,1,0,0,0,1,0.0,0,1,32.2,30.614285714285717,30.99090909090909,30.99090909090909,22.96666666666667,21.914285714285718,22.472727272727273,31.27770983309838,31.040627428073996,33.3,31.1,28.3,23.9,21.7,22.200000000000003,-1.0999999999999943,3.900000000000002,-0.5999999999999979,1.0999999999999979,27.75,8.7,0.0,5.342857142857143,0,0,0,0,1.8243067828891133,1.989700754110801,1.2979837844757156,0.5535714285714315,
2020-08-12,36.6,33.9,22.200000000000003,11.699999999999996,1,1,0,0,93.02,True,71.96000000000001,True,225,8,2,3,33,1,0,0,0,1,1.4409448818897639,1,0,33.13333333333333,31.014285714285712,31.233333333333334,31.233333333333334,23.133333333333336,21.914285714285715,22.45,31.954727835391047,31.505320347215168,32.2,33.3,31.1,23.3,23.9,22.200000000000003,1.6999999999999957,2.799999999999997,-1.0999999999999979,0.0,28.05,9.1,12.200000000000001,10.571428571428571,1,1,0,0,2.2139170199961318,2.0746668224663023,1.2979837844757156,0.9750000000000024,
2020-08-13,1.3,27.200000000000003,22.799999999999997,4.400000000000006,1,0,0,0,80.96000000000001,True,73.03999999999999,True,226,8,3,3,33,1,0,0,0,1,0.05118110236220473,0,0,31.100000000000005,30.857142857142858,30.923076923076923,30.923076923076923,22.76666666666667,22.157142857142862,22.476923076923075,30.73711881763775,30.825477636734757,33.9,32.2,28.3,22.200000000000003,23.3,21.1,-6.699999999999996,-1.0999999999999979,0.5999999999999943,1.6999999999999957,25.0,8.7,12.633333333333333,9.157142857142858,1,0,0,0,2.463640357179552,2.2796760903521083,1.279136613575919,0.17857142857142927,
2020-08-14,0.0,30.0,22.799999999999997,7.200000000000003,1,0,0,0,86.0,True,73.03999999999999,True,227,8,4,3,33,1,0,0,0,1,0.0,0,1,30.366666666666664,31.014285714285712,30.857142857142858,30.857142857142858,22.599999999999998,22.471428571428568,22.5,30.54949606069902,30.69825486561523,27.200000000000003,33.9,28.9,22.799999999999997,22.200000000000003,20.6,2.799999999999997,1.1000000000000014,0.0,2.1999999999999957,26.4,8.542857142857143,12.633333333333333,5.414285714285714,0,0,0,0,2.3504812070641794,2.2040920983529646,1.0889050857233962,-0.1928571428571418,-0.08747252747252839
